film_id,title,rental_duration,description
1000,Zorro Ark,3,A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery
2,Ace Goldfinger,3,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China
6,Agent Truman,3,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China
9,Alabama Devil,3,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat
17,Alone Trip,3,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House
21,American Circus,3,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank
23,Anaconda Confessions,3,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia
25,Angels Life,3,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin
26,Annie Identity,3,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park
37,Arizona Bang,3,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery
46,Autumn Crow,3,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert
48,Backlash Undefeated,3,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery
50,Baked Cleopatra,3,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery
126,Casualties Encino,3,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery
60,Beast Hunchback,3,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China
65,Behavior Runaway,3,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin
69,Beverly Outlaw,3,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station
71,Bilko Anonymous,3,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station
82,Blood Argonauts,3,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse
90,Boulevard Mob,3,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China
101,Brotherhood Blanket,3,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan
109,Butterfly Chocolat,3,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank
111,Caddyshack Jedi,3,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia
114,Camelot Vacation,3,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention
120,Caribbean Liberty,3,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank
