"film_id","title","replacement_cost","description"
203,"Daisy Menagerie","9.99","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India"
627,"North Tequila","9.99","A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans"
880,"Telemark Heartbreakers","9.99","A Action-Packed Panorama of a Technical Writer And a Man who must Build a Forensic Psychologist in A Manhattan Penthouse"
931,"Valentine Vanishing","9.99","A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California"
221,"Deliverance Mulholland","9.99","A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank"
551,"Maiden Home","9.99","A Lacklusture Saga of a Moose And a Teacher who must Kill a Forensic Psychologist in A MySQL Convention"
389,"Gunfighter Mussolini","9.99","A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan"
845,"Stepmom Dream","9.99","A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention"
629,"Notorious Reunion","9.99","A Amazing Epistle of a Woman And a Squirrel who must Fight a Hunter in A Baloon"
996,"Young Language","9.99","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station"
886,"Theory Mermaid","9.99","A Fateful Yarn of a Composer And a Monkey who must Vanquish a Womanizer in The First Manned Space Station"
260,"Dude Blindness","9.99","A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House"
915,"Truman Crazy","9.99","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery"
912,"Trojan Tomorrow","9.99","A Astounding Panorama of a Husband And a Sumo Wrestler who must Pursue a Boat in Ancient India"
23,"Anaconda Confessions","9.99","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia"
272,"Edge Kissing","9.99","A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat"
888,"Thin Sagebrush","9.99","A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India"
348,"Gandhi Kwai","9.99","A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin"
281,"Encino Elf","9.99","A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon"
686,"Pluto Oleander","9.99","A Action-Packed Reflection of a Car And a Moose who must Outgun a Car in A Shark Tank"
639,"Opposite Necklace","9.99","A Fateful Epistle of a Crocodile And a Moose who must Kill a Explorer in Nigeria"
307,"Fellowship Autumn","9.99","A Lacklusture Reflection of a Dentist And a Hunter who must Meet a Teacher in A Baloon"
299,"Factory Dragon","9.99","A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert"
841,"Star Operation","9.99","A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank"
953,"Wait Cider","9.99","A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse"
572,"Metropolis Coma","9.99","A Emotional Saga of a Database Administrator And a Pastry Chef who must Confront a Teacher in A Baloon Factory"
522,"Life Twisted","9.99","A Thrilling Reflection of a Teacher And a Composer who must Find a Man in The First Manned Space Station"
656,"Papi Necklace","9.99","A Fanciful Display of a Car And a Monkey who must Escape a Squirrel in Ancient Japan"
705,"Purple Movie","9.99","A Boring Display of a Pastry Chef And a Sumo Wrestler who must Discover a Frisbee in An Abandoned Amusement Park"
846,"Sting Personal","9.99","A Fanciful Drama of a Frisbee And a Dog who must Fight a Madman in A Jet Boat"
501,"Kissing Dolls","9.99","A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station"
182,"Control Anthem","9.99","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery"
150,"Cider Desire","9.99","A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia"
476,"Jason Trap","9.99","A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery"
565,"Matrix Snowman","9.99","A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California"
747,"Roxanne Rebel","9.99","A Astounding Story of a Pastry Chef And a Database Administrator who must Fight a Man in The Outback"
863,"Sun Confessions","9.99","A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park"
662,"Paths Control","9.99","A Astounding Documentary of a Butler And a Cat who must Find a Frisbee in Ancient China"
875,"Talented Homicide","9.99","A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat"
409,"Heartbreakers Bright","9.99","A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies"
623,"Newton Labyrinth","9.99","A Intrepid Character Study of a Moose And a Waitress who must Find a A Shark in Ancient India"
478,"Jaws Harry","10.99","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House"
22,"Amistad Midsummer","10.99","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California"
632,"Nuts Ties","10.99","A Thoughtful Drama of a Explorer And a Womanizer who must Meet a Teacher in California"
633,"October Submarine","10.99","A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat"
39,"Armageddon Lost","10.99","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft"
167,"Coma Head","10.99","A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California"
959,"Warlock Werewolf","10.99","A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback"
669,"Pearl Destiny","10.99","A Lacklusture Yarn of a Astronaut And a Pastry Chef who must Sink a Dog in A U-Boat"
685,"Platoon Instinct","10.99","A Thrilling Panorama of a Man And a Woman who must Reach a Woman in Australia"
42,"Artist Coldblooded","10.99","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California"
692,"Potluck Mixed","10.99","A Beautiful Story of a Dog And a Technical Writer who must Outgun a Student in A Baloon"
777,"Secretary Rouge","10.99","A Action-Packed Panorama of a Mad Cow And a Composer who must Discover a Robot in A Baloon Factory"
181,"Contact Anonymous","10.99","A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India"
185,"Cowboy Doom","10.99","A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon"
